AssemblyName,Organism
iyBomAffi1.1,Bombus affinis
PGI_DIABVI_V3a,Diabrotica virgifera virgifera
ASM2451493v1,Fusarium circinatum
ASM2451573v1,Calonectria ilicicola
ASM2450914v1,Vidua macroura
ASM2450014v1,Gentiana dahurica var. dahurica
ASM2450015v1,Chenopodium formosanum
ASM2450002v1,Syzygium aromaticum
Salk_teff_dabbi_3.0,Eragrostis tef
UOR_Pequ_1.1,Phycodurus eques
CAtr_DNAZoo_HiC_assembly,Cygnus atratus
UOR_Ptae_1.2,Phyllopteryx taeniolatus
ASM2450823v1,Halococcus qingdaonensis
BA788,Leishmania braziliensis
Zm-Dan340-REFERENCE-BAAFS-1.0,Zea mays
ASM2450571v1,Catharanthus roseus
ASM2450048v1,Vulpes ferrilata
UCI_ORw1118_1.0,Drosophila melanogaster
ASM883128v2,Nymphaea colorata
TLL_Latcal_v3,Lates calcarifer
ASM2445417v1,Actinidia deliciosa
ASM2384627v1,Vanilla planifolia
ASM2449897v1,Malassezia furfur
ASM2449855v1,Arabidopsis thaliana
ASM2449851v1,Arabidopsis thaliana
ASM2449849v1,Arabidopsis thaliana
NYU_TvagG3_2,Trichomonas vaginalis G3
ASM2449847v1,Arabidopsis thaliana
ASM2449845v1,Arabidopsis thaliana
ASM2449843v1,Arabidopsis thaliana
ASM2449833v1,Halobellus ramosii
ASM2449819v1,Halovivax cerinus
ASM2449817v1,Haloplanus salinarum
ASM2448905v1,Chanodichthys erythropterus
iqSchGreg1.2,Schistocerca gregaria
Naked mole-rat paternal,Heterocephalus glaber
Naked mole-rat maternal,Heterocephalus glaber
ASM2445387v1,Scardinius erythrophthalmus
ASM2441683v1,Perccottus glenii
ilAriAges2.1,Aricia agestis
iqSchSeri2.2,Schistocerca serialis cubense
ASM2444213v1,Plasmodium falciparum
P.trichocarpa_Stettler_v1.1,Populus trichocarpa
ASM2439929v1,Encephalitozoon intestinalis
ASM2439925v1,Encephalitozoon hellem
ASM2439743v1,Ustilaginoidea virens
ASM2436480v1,Euprymna scolopes
Oe-Roscoff_1,Ostrea edulis
icAetTumi1.1,Aethina tumida
ilPecGoss1.1,Pectinophora gossypiella
UCB_Xborealis_1,Xenopus borealis
ASM2084476v1,Plasmodium yoelii
ASM2432228v1,Musa beccarii
QSMG,Laetiporus sulphureus
ASM2433755v1,Prunus persica
ASM2436252v1,Natronobiforma sp. CGA73
ASM2436248v1,Halovivax sp. WLHSJ27
ASM2436240v1,Salinirubellus sp. BND22
rVipLat1.pri,Vipera latastei
ASM2422042v1,Aspergillus fumigatus
ASM2433408v1,Lutzomyia longipalpis
CAAS_Psat_ZW6_1.0,Pisum sativum
ASM1735710v2,Natrialbaceae archaeon
NIG_curated_v1.5.1,Neoneuromus ignobilis
BALB_cJ_v3,Mus musculus
DBA_2J_v3,Mus musculus
NOD_ShiLtJ_v3,Mus musculus
PWK_PhJ_v3,Mus musculus musculus
WSB_EiJ_v3,Mus musculus domesticus
129S1_SvImJ_v3,Mus musculus
A_J_v3,Mus musculus
FVB_NJ_v3,Mus musculus
CBA_J_v3,Mus musculus
CAST_EiJ_v3,Mus musculus castaneus
JF1_MsJ_v3,Mus musculus molossinus
C57BL_6NJ_v3,Mus musculus
AKR_J_v3,Mus musculus
C3H_HeJ_v3,Mus musculus
ASM2430082v1,Natronomonas gomsonensis
ASM2430062v1,Halovivax sp. CGA30
ASM2429890v1,Natronomonas sp. ZY43
ASM2429888v1,Haloglomus sp. ZY41
ASM2429886v1,Halosegnis sp. ZY10
ASM2429884v1,Saliphagus sp. WLHSJ1
ASM2429882v1,Haloglomus sp. ZY58
aegilops_speltoides_cv_tivon,Aegilops speltoides subsp. speltoides
ASM2429668v1,Haloterrigena sp. DT87
ASM2429666v1,Natribaculum sp. AD-4
TBG_Okapi_asm_v1,Okapia johnstoni
OSU_Pdul_2.5,Prunus dulcis
ARS1.2,Capra hircus
ASM1204501v1,Canis lupus familiaris
USDA_Nfulva_1.0,Nylanderia fulva
ASM2426670v1,Haloterrigena sp. BND6
tzCryPall5.1,Cryptosula pallasiana
ilEupCent1.1,Eupithecia centaureata
icNebBrev1.1,Nebria brevicollis
idEriSepu1.1,Eristalinus sepulchralis
iyAndHatt1.1,Andrena hattorfiana
ilSynMyop1.1,Synanthedon myopaeformis
ilMicArun2.1,Micropterix aruncella
xbLimFort5.1,Limnoperna fortunei
icSilAtra2.1,Phosphuga atrata
ilEucMixx1.1,Euclidia mi
ilCarPala2.1,Carterocephalus palaemon
CGAR_Hap2,Clarias gariepinus
CGAR_Hap1,Clarias gariepinus
CGAR_prim_01,Clarias gariepinus
ASM2422217v1,Ovis aries
ASM2422226v1,Ovis aries
ASM2422231v1,Thymus quinquecostatus
UCD_HVAEP_1.0,Hydra vulgaris
ASM2422867v1,Halobacteriaceae archaeon ZS-10
ASM2422831v1,Halomarina sp. BND7
ASM2422799v1,Halobacteriaceae archaeon GSLN9
ASM2422771v1,Halomarina sp. BCD28
ASM2422743v1,Haloterrigena sp. ZJ2
ASM2421881v1,Halomicroarcula sp. YSSS71
ASM2421879v1,Halorussus sp. XZYJ18
ASM2421877v1,Halomicroarcula sp. DT1
Salk_lm5633_a03,Lemna minuta
ASM2420605v1,Gallus gallus
ASM2420466v1,Saliphagus sp. WLHS1
CcrdV1.1,Cynara cardunculus var. scolymus
SPRET_EiJ_v3,Mus spretus
ilSteBipu1.1,Stenoptilia bipunctidactyla
iyRhoChlo1.1,Rhogogaster chlorosoma
idTacLuri1.1,Tachina lurida
icChrOric1.1,Chrysolina oricalcia
iyOphLute1.1,Ophion luteus
ASM2416780v1,Methanobacterium sp.
mEleMax1 primary haplotype,Elephas maximus indicus
ASM2408682v1,Abrus pulchellus subsp. cantoniensis
yangtze university Zhang lab wild barley 1.0,Hordeum vulgare
mSunEtr1.pri.cur,Suncus etruscus
ASM2408581v1,Flaveria linearis
ASM2405671v1,Fusarium circinatum
ASM2404739v1,Fusarium circinatum
ASM1452938v2,Adiantum capillus-veneris
iqSchNite1.1,Schistocerca nitens
iqSchCanc2.1,Schistocerca cancellata
MGAL_WU_HG_1.0_parent2,Meleagris gallopavo
MGAL_WU_HG_1.0_parent1,Meleagris gallopavo
AcolN3,Anopheles coluzzii
idAnoGambNW_F1_1,Anopheles gambiae
idAnoFuneDA-416_04,Anopheles funestus
ilHylEuph1_pri,Hyles euphorbiae
ASM2413816v1,Halorussus sp. XZYJT10
ASM2413814v1,Halovivax sp. AGai3-5
ASM2413812v1,Halorussus sp. YCN54
iyTipFemo1.1,Tiphia femorata
PGI_PSYICH_v2,Psylliodes chrysocephala
PGI_NEZAVIv3,Nezara viridula
ASM2411488v1,Septoria linicola
ASM2407283v1,Epichloe amarillans
icNebSali1.1,Nebria salina
PGI_CHILSU_v4,Chilo suppressalis
PGI_CINC_vHiFi1,Chrysodeixis includens
fDanRer4.1,Danio rerio
PGI_AGRIOTES_LIN_V1,Agriotes lineatus
PGI_PHYECR_V1,Phyllotreta cruciferae
PGI_Spodlit_v1,Spodoptera littoralis
idSphTaen1.1,Sphaerophoria taeniata
Gentig_PCG_1.0,Panthera tigris
ASM2403449v1,Camelina laxa
UDNC_Vigmung,Vigna mungo
BIME_Rsan_1.4,Rhipicephalus sanguineus
BIME_Dsil_1.4,Dermacentor silvarum
Psun_UM_1.1,Phodopus sungorus
ASM2365373v1,Ceratotherium simum simum
SL3.1,Solanum lycopersicum
KU_Ca_2.0,Chaenocephalus aceratus
ASM2397382v1,Plasmodium brasilianum
ASM2402299v1,Thermococcus aggregans
ASM2014152v2,Apis cerana
ASM2396932v1,Oryzias curvinotus
ASM2396867v1,Taenia pisiformis
ASM2393514v1,Bretschneidera sinensis
BBRACH_0.4,Brienomyrus brachyistius
ASM2389825v1,Nycticebus bengalensis
gfAgaBisp1.1,Agaricus bisporus
ASM2392016v1,Curvularia clavata
Tfree1.0,Tribolium freemani
wheat_cv_attraktion_v1,Triticum aestivum
ilAgrGeni1.1,Agriphila geniculea
idMyoTess1.1,Myopa tessellatipennis
idAnoNiliSN_F5_01,Anopheles nili
idPheCory1.1,Pherbina coryleti
idAnoCruzAS_RS32_06,Anopheles cruzii
ilEupAbbr2.1,Eupithecia abbreviata
xbTriCroc3.1,Tridacna crocea
idAnoMacuDA_375_x,Anopheles maculipalpis
idAnoDarlMG_H_01,Anopheles darlingi
idSabCyanKW18_F2,Sabethes cyaneus
wrPisGeom1.1,Piscicola geometra
idAnoMarsDA_429_01,Anopheles marshallii
idAnoBellAS_SP24_06,Anopheles bellator
idPolAmen1.1,Pollenia amentaria
iyStePhae1.1,Stelis phaeoptera
idAnoZiCoDA_A2_x,Anopheles ziemanni
idAnoCousDA_361_x,Anopheles coustani
idAnoMoucSN_F20_07,Anopheles moucheti
idAnoAquaMG_Q_19,Anopheles aquasalis
iyTenMeso1.1,Tenthredo mesomela
ilSesBemb1.1,Sesia bembeciformis
ASM2391351v1,Natronococcus sp. CG52
ASM2389836v1,Candidatus Woesearchaeota archaeon
ASM2389834v1,Candidatus Woesearchaeota archaeon
ASM2385377v1,Vanilla planifolia
SauChrV1.1,Seriola aureovittata
Uh359_v1,Ustilago hordei
Uh1278_v1,Ustilago hordei
Uh1273_v1,Ustilago hordei
Uh818_v1,Ustilago hordei
Uh811_v1,Ustilago hordei
ASM2386406v1,Camelina neglecta
ASM2386411v1,Camelina hispida
mTamTet1.pri,Tamandua tetradactyla
StPkA1H1,Plasmodium knowlesi
PKCLINC048,Plasmodium knowlesi
ASM2371839v1,Leucaspius delineatus
PKCLINC047,Plasmodium knowlesi
ASM2371838v1,Sander lucioperca
ddMerAnnu1.1,Mercurialis annua
AU_DB_2.0,Ictalurus furcatus
carGib1.2-hapl.a,Carassius gibelio
carGib1.2-hapl.c,Carassius gibelio
carGib1.2-hapl.b,Carassius gibelio
g3h1,Quercus glauca
Puncia_PCG_1.0,Panthera uncia
ASM2374659v1,Thermococcus sp. IOH2
ASM2370379v1,Haloplanus sp. HW8-1
ASM2370377v1,Haloplanus sp. GDY1
ilAceEphe1.1,Acentria ephemerella
ilAcrSuav1.1,Acrobasis suavella
gzMucPiri1.1,Mucor piriformis
icOphArdo1.1,Ophonus ardosiacus
ilThoDeci1.1,Tholera decimalis
ilAgrPuta1.1,Agrotis puta
ilEreAeth2.2,Erebia aethiops
idCalVomi1.1,Calliphora vomitoria
wpSthLimi1.1,Sthenelais limicola
ilXesSexs1.1,Xestia sexstrigata
idPhyMeln1.1,Phyto melanocephala
ASM2370212v1,Halorubrum sp. 1-13-X8
ASM2370176v1,Hylyphantes graminicola
HaSCD2,Helicoverpa armigera
CAU_F1_maternal_1.0,Ovis ammon polii x Ovis aries
CAU_F1_paternal_1.0,Ovis ammon polii x Ovis aries
ASM411807v2,Vigna unguiculata
Ovbor_1.0,Odocoileus virginianus
ASM2369052v1,Holotrichia oblita
GZUCM_PCab_1.0,Pogostemon cablin
ASM2365362v1,Triadica sebifera
ASM2237911v2,Bauhinia variegata
Tpac_2.0,Thaleichthys pacificus
Mcan_v2,Melastoma candidum
ASM2365861v1,Epichloe typhina
ASM2365856v1,Epichloe typhina subsp. poae
ASM2365853v1,Epichloe glyceriae
ASM2365850v1,Epichloe gansuensis
ASM2365847v1,Epichloe elymi
ASM2365844v1,Epichloe bromicola
GSC_CCare_1.0,Caretta caretta
ASM2365372v1,Bungarus multicinctus
myriam-sen2290-mb-hirise-a4l1o__03-26-2021,Hyles vespertilio
CUHK_Cjar_2.0,Catalaphyllia jardinei
ASM1869124v2,Ips nitidus
ASM2365750v1,Camelina hispida
HZAU_PFYY_1.0,Tachysurus fulvidraco
ASM2365070v1,Epichloe brachyelytri
ASM2365063v1,Epichloe baconii
ASM2365059v1,Cryptococcus neoformans
ASM2365057v1,Cryptococcus neoformans
ASM2365055v1,Cryptococcus neoformans
ASM2365053v1,Cryptococcus neoformans
ASM2364667v1,Avena sativa
Ash1_v2.2,Homo sapiens
Billie_1.0,Ictalurus furcatus
ASM2361440v1,Avena insularis
ASM2361438v1,Avena longiglumis
bFalPer1.pri,Falco peregrinus
bFalBia1.pri,Falco biarmicus
ASM2363800v1,Forsythia suspensa
ASM2363444v1,Abrus pulchellus subsp. cantoniensis
dark-eyed_junco_22Sep2020_assembly,Junco hyemalis
ASM2363058v1,Cranoglanis bouderius
ASM2363442v1,Scleropages formosus
fThyThy.pri.20220222,Thymallus thymallus
bFalChe1.pri,Falco cherrug
ASM2362138v1,Quercus gilva
fGymCer.pri,Gymnocephalus cernua
ASM2361730v1,Methanobrevibacter sp. TLL-48-HuF1
ASM2355856v1,Artemisia tridentata subsp. tridentata
ASM277652v4,Piliocolobus tephrosceles
ASM2356617v1,Barbus barbus
ASM2355853v1,Drosophila nasuta
ASM2355845v1,Drosophila kepulauana
ASM2355843v1,Drosophila sulfurigaster albostrigata
ASM2355846v1,Drosophila sulfurigaster bilimbata
ASM2356622v1,Romanogobio albipinnatus
ASM2355847v1,Drosophila sulfurigaster sulfurigaster
ASM2355844v1,Drosophila pallidifrons
ASM2356612v1,Zingel zingel
ASM2356646v1,Cottus gobio
grTriPseu1.1,Trichoderma pseudokoningii
ilTheBrit1.1,Thera britannica
idBomDisc1.1,Bombylius discolor
icHalSede1.1,Halyzia sedecimguttata
gsMetZobe1.1,Metschnikowia zobellii
idCisGlob1.1,Cistogaster globosa
ilAriArta2.1,Aricia artaxerxes
idTheAtra2.1,Thecophora atra
paTetJugo1.1,Tetramitus jugosus
ilPolIcar1.1,Polyommatus icarus
ucPycProv1.1,Pycnococcus provasolii
fBarBab1.1,Barbus barbus
ilBraVimi1.1,Brachylomia viminalis
ilHypCost1.1,Hypsopygia costalis
mOrcOrc1.1,Orcinus orca
ilSynAndr1.1,Synanthedon andrenaeformis
idChePaga1.1,Cheilosia pagana
idNowFero1.1,Nowickia ferox
wpLepClav1.1,Lepidonotus clava
idSarSubv1.1,Sarcophaga subvicina
iiGlyPell1.1,Glyphotaelius pellucidus
ilProPyga1.1,Protodeltote pygarga
ilMegAlbu1.1,Meganola albula
O. rufipogonIRGC106523RS1,Oryza rufipogon
UCB_Dpea_1,Doryteuthis pealeii
ASM2349744v1,Saccharomycopsis fibuligera
ASM2354706v1,Musa troglodytarum
UTH_Rnor_SHR_Utx,Rattus norvegicus
CUHK_Ilex_v2.1,Ilex asprella
UTH_Rnor_WKY_Bbb_1.0,Rattus norvegicus
ZAFU_TdicV1,Trypoxylus dichotomus
ASM2351283v1,Taxillus chinensis
Lbru_1.0,Liposcelis brunnea
ASM2352571v1,Cichorium intybus
ASM2352597v1,Smallanthus sonchifolius
ASM2352574v1,Arctium lappa
D84A_referencegenome,Daphnia pulex
UNSW_AlpineDingo_1.0,Canis lupus dingo
ARS-UCD1.3,Bos taurus
AstMex3_surface,Astyanax mexicanus
Svulgaris_vAU_1.1,Sturnus vulgaris
AstMex3_Tinaja,Astyanax mexicanus
AstMex3_Molino,Astyanax mexicanus
ASM2350882v1,Saccharomyces cerevisiae
ASM438219v2,Drosophila sechellia
v1,Cichorium endivia
PGABG01,Plasmodium gaboni
C.cajan_V1.1,Cajanus cajan
ASM2337689v1,Aspiorhynchus laticeps
ASM2337572v1,Nephotettix cincticeps
ASM2337384v1,Nibea coibor
ASM2337382v1,Bactrocera dorsalis
ASM2337388v1,Hestina assimilis
Oket_V2,Oncorhynchus keta
SDNU_Libico_1.0,Limonium bicolor
ASM2334802v1,Eriocheir sinensis
fAciRut3.2 maternal haplotype,Acipenser ruthenus
Oat OT3098 v2,Avena sativa
ASM2333362v1,Bothriochloa decipiens
ASM2321339v1,Cycas panzhihuaensis
Oner_1.1,Oncorhynchus nerka
ASM2323872v1,Scortum barcoo
bLagMut1 primary,Lagopus muta
ASM2309106v1,Dianthus caryophyllus
ASM1333976v2,Haemaphysalis longicornis
ASM1984389v2,Carassius gibelio
ASM1972071v2,Carassius auratus
Ssal_ALTA,Salmo salar
PGI_MICBR_vchrom,Microctonus brassicae
pea_aphid_22Mar2018_4r6ur_v2,Acyrthosiphon pisum
AALO_Geno_1.1,Alosa alosa
Lsat_Salinas_v8,Lactuca sativa
ASM2327856v1,Colletotrichum lupini
ASM2327380v1,Exobasidium cylindrosporum
ASM2327283v1,Yarrowia lipolytica
Graimondii2_0v2,Gossypium raimondii
Tu2.1,Triticum urartu
ASM270686v3,Spodoptera litura
ASM2324227v1,Fusarium graminearum
ilPhlMeti2.2,Phlogophora meticulosa
Triticum_aestivum_Renan_v2.1,Triticum aestivum
Triticum_aestivum_Renan,Triticum aestivum
IP_504.v2_0,Iphiclides podalirius
tzBugStol2.1,Bugulina stolonifera
WEW_v2.1,Triticum dicoccoides
ZJU_Sfru_1.1,Spodoptera frugiperda
Phaeodactylum tricornutum genome assembly v0.5,Phaeodactylum tricornutum
ASM2323844v1,Halorussus sp. XZYJT40
ASM2323820v1,Halorussus sp. XZYJT49
ASM2320587v1,Chloropicon primus
ASM2320483v1,Salinarchaeum laminariae
ilCarQuer1.2,Carcina quercana
icMelMelo1.1,Melolontha melolontha
icPolCerv1.1,Polydrusus cervinus
ilXylAreo1.1,Xylocampa areola
UniMelb_Shisp_WGS_1.0,Salvia hispanica
ASM2316956v1,Metallosphaera sedula
ASM2316954v1,Nanobdella aerobiophila
Panubis1.1,Papio anubis
ASM2315922v1,Perognathus longimembris pacificus
USDA_Piezodorus_guildinii_Assembly_v1.1,Piezodorus guildinii
ASM2311539v1,Arabidopsis thaliana
ASM172317v3,Penicillium oxalicum
ASM2310122v1,Fusarium solani-melongenae
ASM2309353v1,Halovivax limisalsi
Takin1.0,Budorcas taxicolor
ASM2306583v1,Hippopotamus amphibius
ASM2306576v1,Hexaprotodon liberiensis
IRD_Cohum_1.0,Coffea humblotiana
ASM2307948v1,Archilochus colubris
ASM2307854v1,Schizosaccharomyces pombe
ASM2307855v1,Ulva prolifera
YAF_Ocus_V1,Olea europaea subsp. cuspidata
ASM2306571v1,Saccharomyces cerevisiae
LegGlyc_1.1,Leguminivora glycinivorella
IndInt_Assembly_v1,Anopheles stephensi
ASM73873v6,Corvus cornix cornix
ASM2306535v1,Sus scrofa
ASM2306533v1,Sus scrofa
mMelMel3.2 paternal haplotype,Meles meles
Tae_Kariega_v1,Triticum aestivum
ASM436810v3,Eucalyptus melliodora
ASM2298504v1,Macadamia tetraphylla
PDJA,Pangasius djambal
ASM2298485v1,Dimocarpus longan
IGBB_LRoh.1.0,Labeo rohita
Ce_DL226,Caenorhabditis elegans
ASM2302916v1,Gobiocypris rarus
ASM2302834v1,Halorientalis marina
ASM2302822v1,Halorientalis litorea
ASM2302810v1,Halovarius sp. SQT-29-1
ilOpiLute1.2,Opisthograptis luteolata
ASM2301632v1,Methanonatronarchaeum sp. AMET6-2
ASM2300858v1,Natribaculum breve
ASM2300856v1,Natribaculum longum
ASM2300854v1,Halovarius luteus
ASM2296580v1,Primulina eburnea
ASM2283312v2,Homo sapiens
ASM200744v3,Ailuropoda melanoleuca
ASM2296577v1,Cercospora sp. J1 LZ-2022
INRA_AMelMel_1.1,Apis mellifera mellifera
dhQueRobu3.1,Quercus robur
ASM2287048v1,Halococcus dombrowskii
ASM2284617v1,Methanobrevibacter smithii
ASM2284615v1,Methanobrevibacter smithii
UM_Priviv_1.0,Prionailurus viverrinus
CUR_Ptr902_1.0,Pyrenophora tritici-repentis
ASM2283701v1,Saccharomyces cerevisiae
MPM_Stown_v2.3,Sphaerodactylus townsendi
arahy.TennRed.gnm1,Arachis hypogaea subsp. fastigiata
ASM2282899v1,Vimba vimba
ASM2282902v1,Squalius cephalus
ASM2282908v1,Abramis brama
AGOR_1.0,Albula goreensis
ASM2283299v1,Cryptococcus neoformans
1.0,Hypophthalmichthys molitrix
SlydLA2951_v2.0,Solanum lycopersicoides
ASM2281804v1,Neotoxoptera formosana
PTR_B91,Pyrenophora tritici-repentis
ASM2281306v1,Pyrenophora tritici-repentis
UniMelb_ThyCyn2.0_hybrid_assembly,Thylacinus cynocephalus
fSolSen1.1_lg,Solea senegalensis
sunset,Carica papaya
ASM2278838v1,Branchiostoma floridae x Branchiostoma belcheri
ASM1920278v2,Penaeus chinensis
ilYpsSequ2.1,Ypsolopha sequella
dcPolAvic1.1,Polygonum aviculare
iyBuaLabo1.1,Buathra laborator
ilYpoSedl1.1,Yponomeuta sedellus
ilApeSyri1.1,Apeira syringaria
ipLeuNigr2.1,Leuctra nigra
drPotAnse1.1,Potentilla anserina
ASM1841601v2,Coccidioides posadasii str. Silveira
KSU_Pgt_99KS76A_2.0,Puccinia graminis f. sp. tritici
USDA_MAFF727510_v2,Fusarium oxysporum f. sp. fragariae
USDA_BRIP62122a_v2,Fusarium oxysporum f. sp. fragariae
Ptr86-124.v2,Pyrenophora tritici-repentis
PGIGA_1.1,Pangasianodon gigas
HSTE1.2,Hippoglossus stenolepis
ASM2274975v1,Azadirachta indica
ASM2274917v1,Ustilago hordei
VMJ,Papilionanthe hookeriana x Papilionanthe teres
ASM2270252v1,Ilyophis sp. 2 JC-2022
ASM2270251v1,Ilyophis sp. 1 JC-2022
ASM2270241v1,Ilyophis sp. JC_2022_1
ASM2270139v1,Leishmania guyanensis
ASM2270137v1,Trichothecium roseum
ASM2269573v1,Saccharomyces cerevisiae
ASM2269571v1,Saccharomyces cerevisiae
ASM2269569v1,Saccharomyces cerevisiae
ASM2269567v1,Saccharomyces cerevisiae
CU_Lasu_v2,Lamprotornis superbus
HLdesRot8A,Desmodus rotundus
HLdesRot8B,Desmodus rotundus
Hordeum_vulgare_HTX_v1,Hordeum vulgare
T_arvense_v2,Thlaspi arvense
idMacAtri3.1,Machimus atricapillus
iyPemLugu1.1,Pemphredon lugubris
idStoLuna1.1,Stomorhina lunata
iyLasPaux1.1,Lasioglossum pauxillum
icLeiSpin1.1,Leistus spinibarbis
ilMilMini2.1,Miltochrista miniata
iyAmbArma2.1,Amblyteles armatorius
ioPlaPenn1.1,Platycnemis pennipes
ilHipSeme1.1,Hipparchia semele
qqMetBour1.1,Meta bourneti
ddAraThal4.1,Arabidopsis thaliana
nxOscSper1.1,Oscheius sp. DF5120
idEpiSucc1.1,Epicampocera succincta
idNepFlae1.1,Nephrotoma flavescens
nxOscOnir1.1,Oscheius onirici
ilEclSila1.1,Ecliptopera silaceata
ilCarClav1.1,Caradrina clavipalpis
idRhiCamp1.1,Rhingia campestris
idBomMajo1.1,Bombylius major
ilPhrFuli1.1,Phragmatobia fuliginosa
ilOpeBrum1.1,Operophtera brumata
icPhiCogn1.1,Philonthus cognatus
nxOscDolc1.1,Oscheius dolichura
nxOscSpeu1.1,Oscheius sp. JU1382
ilLobHalt1.1,Lobophora halterata
jaNemVect1.1,Nematostella vectensis
ASM2267432v1,Grapholita molesta
HZAU_PFXX_2.0,Tachysurus fulvidraco
ASM2264469v1,Cenchrus purpureus
ASM2264183v1,Cyberlindnera fabianii
ASM2254549v1,Chrysanthemum lavandulifolium
ASM2262642v1,Saccharomyces cerevisiae S288C
ilHelZeax1.1,Helicoverpa zea
USDA_GL1315_v2,Fusarium oxysporum f. sp. fragariae
ASM2260645v1,Callitettix versicolor
ASM2260669v1,Vaccinium macrocarpon
PFR_Mdom_1.0,Malus domestica
ASM2260516v1,Purpureocillium takamizusanense
ASM2257049v1,Penicillium oxalicum
ASM2255984v1,Amorphophallus konjac
APGP_CSIRO_Lrig_0.1,Lolium rigidum
ilAgrMarg1.1,Agriopis marginaria
ilEpiNise2.1,Epinotia nisella
ilDiaChry1.1,Diachrysia chrysitis
ilChlSite2.1,Chloroclysta siterata
wpAliVire1.1,Alitta virens
ilAllOxya1.1,Allophyes oxyacanthae
ilApoLuen1.1,Aporophyla lueneburgensis
ilPanCinn1.1,Pandemis cinnamomeana
idSarVari1.1,Sarcophaga variegata
xgPatVulg1.1,Patella vulgata
ilApoBetu1.1,Apotomis betuletana
ilPluXylo3.1,Plutella xylostella
ilDiaRubi1.1,Diarsia rubi
idProAzur1.1,Protocalliphora azurea
icPodAlpi1.1,Podabrus alpinus
idLeuLate1.1,Leucozona laternaria
ASM2255733v1,Vitis rotundifolia
ilLycPhla1.2,Lycaena phlaeas
ASM2249680v1,Pohlia nutans
ASM2253959v1,Amphiprion ocellaris
ASM2243284v1,Ovis aries
ASM2243282v1,Ovis aries
ASM2241691v1,Ovis aries
ASM2243283v1,Ovis aries
ASM2241675v1,Ovis aries
ASM2241677v1,Ovis aries
ASM2241678v1,Ovis aries
ASM2241674v1,Ovis aries
ASM2241668v1,Ovis aries
ASM2253800v1,Ovis aries
ASM2241669v1,Ovis aries
ASM2241672v1,Ovis aries
g4wRepeats_chr_ref_UCLA,Schmidtea mediterranea
Dnobile,Dendrobium nobile
NFU_Jman_1.0,Juglans mandshurica
ASM2253091v1,Paspalum notatum
ASM2088199v2,Homo sapiens
UCD10Xv1.1,Capsicum annuum
ROSLIN_BTI_ANK1,Bos taurus
ROSLIN_BTT_NDA1,Bos taurus
ilVanCard2.2,Vanessa cardui
ilCloCurt1.2,Clostera curtula
ASM2249601v1,Hordeum marinum
ASM2245720v1,Saccharum spontaneum
ASM2240511v1,Solanum lycopersicum
ASM2240510v1,Aristolochia contorta
ASM2240512v1,Anthidium xuezhongi
CIBA_Mcephalus_1.1,Mugil cephalus
ASM2245388v1,Caenorhabditis briggsae
ASM2243578v1,Micropterus salmoides
ASM2243306v1,Begonia loranthoides
ASM2243294v1,Begonia darthvaderiana
ASM2243297v1,Begonia masoniana
ASM2243305v1,Begonia peltatifolia
ASM2241472v1,Microglena sp. YARC
Tfre_KSU_1.0,Tribolium freemani
Zophobas_atratus_KSU_v.1,Zophobas atratus
DD_fGirMul_XY1,Girardinichthys multiradiatus
ASM2237912v1,Scophthalmus maximus
